Column,mean,median,std,min,25%,75%,max,median
GHI,240.559452435312,1.8,331.13132727519655,-12.9,-2.0,483.4,1413.0,1.8
DNI,167.18751598173515,-0.1,261.7105006198377,-7.8,-0.5,314.2,952.3,-0.1
DHI,115.35896080669708,1.6,158.69107385933233,-12.6,-2.1,216.3,759.2,1.6
ModA,236.5894961948249,4.5,326.89485851507413,0.0,0.0,463.7,1342.3,4.5
ModB,228.883575913242,4.3,316.53651537980164,0.0,0.0,447.9,1342.3,4.3
Tamb,28.179682838660575,28.0,5.924296981332788,11.0,24.2,32.3,43.8,28.0
RH,54.4879691780822,55.1,28.073068781205844,2.1,28.8,80.1,100.0,55.1
WS,2.121112823439878,1.9,1.6034658845357102,0.0,1.0,3.1,19.5,1.9
WSgust,2.8091948249619483,2.6,2.029119651774774,0.0,1.3,4.1,26.6,2.6
WSstdev,0.4733896499238964,0.5,0.2733946213736333,0.0,0.4,0.6,4.2,0.5
WD,153.43517199391172,181.0,102.33284204706163,0.0,59.0,235.1,360.0,181.0
WDstdev,8.582406582952814,8.6,6.385864053158973,0.0,3.7,12.3,99.4,8.6
BP,994.197199391172,994.0,2.474993197988568,985.0,993.0,996.0,1003.0,994.0
Cleaning,0.0009227549467275495,0.0,0.030362892221282408,0.0,0.0,0.0,1.0,0.0
Precipitation,0.001904870624048706,0.0,0.03711520540633969,0.0,0.0,0.0,2.5,0.0
TModA,35.2460256849315,30.0,14.807257528633412,9.0,24.2,46.9,81.0,30.0
TModB,32.47173554033485,28.9,12.348743384105228,8.1,23.6,41.5,72.5,28.9
Comments,,,,,,,,
